order_qty,ship_qty,units,item,upc,brand,description,pack_size,price,extended_price,cost_per_item,store_price,online_price
3,3,CS018,705814,070569814400,BAHLSEN,CONTESSA LEBKUCHEN,18/7 OZ,75.42,226.26,4.19,6.89,7.39
2,2,CS010,705840,070569894419,BAHLSEN,GINGERBREAD PRETZELS BAG,10/8.8 OZ,41.9,83.8,4.19,6.89,7.39
2,2,CS010,705860,070569816817,BAHLSEN,AKORA DK CHOC GINGERBREAD,10/7.9 OZ,41.9,83.8,4.19,6.89,7.39
1,1,CS012,871697,887123766972,CAVENDISH & HARVEY,ORANGE FRUIT DROPS TIN,12/5.3 OZ,45.48,45.48,3.79,6.19,6.69
1,1,CS012,871701,887123767016,CAVENDISH & HARVEY,MIXED FRUIT DROPS TIN,12/5.3 OZ,45.48,45.48,3.79,6.19,6.69
1,1,CS012,871702,887123767023,CAVENDISH & HARVEY,CHERRY FRUIT DROPS TIN,12/5.3 OZ,45.48,45.48,3.79,6.19,6.69
1,1,CS012,871703,887123767030,CAVENDISH & HARVEY,LEMON FRUIT DROPS TIN,12/5.3 OZ,45.48,45.48,3.79,6.19,6.69
1,1,CS012,871831,887123068311,CAVENDISH & HARVEY,WILD BERRY FRUIT DROPS TIN,12/5.3 OZ,45.48,45.48,3.79,6.19,6.69
2,2,CS012,424020,042456000203,PIROULINE,PIROULINE CHOCOLATE LINED,12/2.5 OZ,16.68,33.36,1.39,2.49,2.99
2,2,CS006,424031,042456050314,PIROULINE,DARK CHOCOLATE PIROULINE,6/14 OZ,32.94,65.88,5.49,8.89,9.39
2,2,CS012,424113,042456051137,PIROULINE,CHOCOLATE HAZELNUT,12/3.25 OZ,16.68,33.36,1.39,2.49,2.99
2,2,CS012,424114,042456051144,PIROULINE,DARK CHOCOLATE PIROULINE,12/3.25 OZ,16.68,33.36,1.39,2.49,2.99
2,2,CS006,424504,042456050413,PIROULINE,VANILLA PIROULINE TIN,6/14 OZ,32.94,65.88,5.49,8.89,9.39
2,2,CS006,424505,042456005055,PIROULINE,CHOCOLATE HAZELNUT,6/14 OZ,32.94,65.88,5.49,8.89,9.39
3,3,CS012,583005,058336000058,DR. OETKER,BAKING POWDER 6PK (.5 OZ EA),12/3 OZ,21.48,64.44,1.79,3.09,3.59
3,3,CS012,583006,058336000065,DR. OETKER,VANILLA SUGAR 6PK (.32 OZ EA),12/1.92 OZ,21.48,64.44,1.79,3.09,3.59
1,1,CS030,583007,058336000072,DR. OETKER,CAKE GLAZE- CLEAR 2PK (.33 OZ,30/0.66 OZ,26.7,26.7,0.89,1.69,2.19
3,3,CS012,583105,058336111105,DR. OETKER,NATURAL VANILLA SUGAR 6PK,12/1.68 OZ,29.88,89.64,2.49,4.19,4.69
1,1,CS030,583114,058336011146,DR. OETKER,WHIP-IT WHIPPED CREAM 2PK,30/0.66 OZ,21.3,21.3,0.71,1.49,1.99
1,1,CS021,928870,092868118485,ERASMI,MARZIPAN SANTA CLAUS,21/3.5 OZ,104.79,104.79,4.99,8.09,8.59
4,4,CS008,770050,077075230502,FELIX,LINGONBERRIES,8/10 OZ,40.96,163.84,5.12,8.29,8.79
4,4,CS008,770359,077075230595,FELIX,FELIX LINGONBERRIES,8/14.5 OZ,50.08,200.32,6.26,10.09,10.59
2,2,CS012,611060,061104410607,CHAMPIGNON,BRIE TIN,12/4.5 OZ,49.08,98.16,4.09,6.69,7.19
1,1,CS012,611061,061104410614,CHAMPIGNON,CAMEMBERT TIN,12/4.5 OZ,49.08,49.08,4.09,6.69,7.19
1,1,CS011,374852,037466019529,LINDT,MILK CHOCOLATE GOLD BAR,11/10.6 OZ,93.95,93.95,8.54,13.59,14.09
1,1,CS010,374854,037466019543,LINDT,MILK CHOCOLATE W/,10/10.6 OZ,85.41,85.41,8.54,13.59,14.09
1,1,CS011,374858,037466019581,LINDT,SURFIN DARK GOLD BAR,11/10.6 OZ,93.95,93.95,8.54,13.59,14.09
7,7,CS020,973020,097305050212,NIEDEREGGER,CHOC-COVERED MARZIPAN,20/2.6 OZ,88.2,617.4,4.41,7.19,7.69
7,7,CS015,973030,097305050311,NIEDEREGGER,CHOC-COVERED MARZIPAN,15/4.25 OZ,97.32,681.24,6.49,10.39,10.89
1,1,CS010,973807,097305065117,NIEDEREGGER,MARZIPAN CLASSIC BAR - BSW,10/3.8 OZ,47.4,47.4,4.74,7.69,8.19
2,2,CS012,973811,097305400116,NIEDEREGGER,MARZIPAN POTATOES,12/3.5 OZ,69.48,138.96,5.79,9.29,9.79
1,1,CS010,973812,097305065148,NIEDEREGGER,MARZIPAN CLASSIC BAR - MILK,10/3.8 OZ,47.4,47.4,4.74,7.69,8.19
1,1,CS010,973827,097305065261,NIEDEREGGER,MARZIPAN CLASSIC BAR -,10/3.8 OZ,47.4,47.4,4.74,7.69,8.19
3,3,CS024,928134,4023800051344,SCHLUCKWERDER,RUM TRUFFLES,24/7 OZ,81.36,244.08,3.39,5.59,6.09
